time,wx,wy,wz
22.98834204673767,-0.34,-0.28,-0.31
22.99810791015625,-0.35,-0.27,-0.29
23.024034023284912,-0.36,-0.27,-0.27
23.026166915893555,-0.37,-0.26,-0.26
23.028066158294678,-0.38,-0.26,-0.26
23.03742003440857,-0.39,-0.25,-0.28
23.04854393005371,-0.39,-0.24,-0.3
23.05802583694458,-0.39,-0.24,-0.33
23.068997859954834,-0.39,-0.23,-0.36
23.078071117401123,-0.39,-0.23,-0.38
23.08942413330078,-0.38,-0.22,-0.4
23.09867000579834,-0.38,-0.22,-0.42
23.116822957992554,-0.38,-0.21,-0.43
23.118430137634277,-0.37,-0.2,-0.43
23.128118991851807,-0.36,-0.19,-0.42
23.138154983520508,-0.36,-0.18,-0.41
23.149343967437744,-0.36,-0.17,-0.4
23.158856868743896,-0.36,-0.16,-0.38
23.169281005859375,-0.36,-0.15,-0.38
23.178886890411377,-0.36,-0.14,-0.37
23.19001007080078,-0.36,-0.13,-0.36
23.199531078338623,-0.36,-0.12,-0.35
23.21708393096924,-0.36,-0.11,-0.32
23.218889951705933,-0.37,-0.1,-0.31
23.228911876678467,-0.38,-0.09,-0.29
23.239108085632324,-0.39,-0.08,-0.26
23.250368118286133,-0.39,-0.06,-0.25
23.259894847869873,-0.39,-0.05,-0.24
23.270204067230225,-0.39,-0.04,-0.23
23.27993392944336,-0.39,-0.03,-0.23
23.290285110473633,-0.39,-0.02,-0.23
23.30054807662964,-0.39,-0.01,-0.24
23.317532062530518,-0.38,0.0,-0.24
23.319387912750244,-0.37,0.01,-0.24
23.329540014266968,-0.35,0.02,-0.24
23.339656829833984,-0.34,0.04,-0.24
23.350783824920654,-0.32,0.05,-0.23
23.360569953918457,-0.3,0.06,-0.22
23.371057987213135,-0.28,0.07,-0.21
23.380733966827393,-0.25,0.08,-0.2
23.39144802093506,-0.23,0.09,-0.2
23.40162181854248,-0.21,0.1,-0.19
23.418445110321045,-0.2,0.12,-0.19
23.420191049575806,-0.19,0.13,-0.19
23.430438995361328,-0.18,0.14,-0.18
23.440488815307617,-0.18,0.15,-0.17
23.45057487487793,-0.17,0.16,-0.16
23.461200952529907,-0.16,0.17,-0.13
23.47159504890442,-0.16,0.18,-0.11
23.481096029281616,-0.15,0.19,-0.08
23.491777896881104,-0.15,0.2,-0.06
23.51453995704651,-0.15,0.21,-0.03
23.516655921936035,-0.13,0.22,0.0
23.520828008651733,-0.13,0.23,0.01
23.530890941619873,-0.13,0.24,0.01
23.541036128997803,-0.13,0.25,0.01
23.55207586288452,-0.13,0.26,0.01
23.561372995376587,-0.12,0.27,0.01
23.572566986083984,-0.11,0.28,0.0
23.582636833190918,-0.09,0.29,0.01
23.592437982559204,-0.07,0.3,0.02
23.61678695678711,-0.05,0.31,0.02
23.61891508102417,-0.03,0.32,0.04
23.621521949768066,-0.01,0.32,0.05
23.637278079986572,0.01,0.33,0.06
23.64198899269104,0.03,0.34,0.07
23.652806043624878,0.04,0.35,0.08
23.66218900680542,0.04,0.35,0.09
23.672986030578613,0.05,0.36,0.1
23.683395862579346,0.05,0.37,0.11
23.69282603263855,0.06,0.38,0.13
23.71632695198059,0.06,0.38,0.15
23.718179941177368,0.06,0.39,0.17
23.722250938415527,0.07,0.4,0.2
23.737924098968506,0.07,0.4,0.22
23.742538928985596,0.07,0.4,0.25
23.75444793701172,0.07,0.41,0.27
23.76301383972168,0.07,0.42,0.28
23.773316860198975,0.07,0.42,0.29
23.783276081085205,0.07,0.42,0.29
23.794414043426514,0.07,0.43,0.28
23.81652593612671,0.07,0.43,0.27
23.817808151245117,0.08,0.43,0.27
23.822997093200684,0.09,0.43,0.26
23.833006858825684,0.11,0.43,0.26
23.843953132629395,0.13,0.43,0.25
23.854187965393066,0.15,0.44,0.26
23.864026069641113,0.17,0.44,0.27
23.874228954315186,0.19,0.43,0.28
23.884479999542236,0.21,0.44,0.3
23.894294023513794,0.23,0.44,0.29
23.910767078399658,0.24,0.44,0.29
23.91370701789856,0.25,0.44,0.29
23.92379903793335,0.25,0.43,0.28
23.93385100364685,0.25,0.43,0.27
23.94408893585205,0.25,0.43,0.27
23.95479702949524,0.25,0.42,0.27
23.96475887298584,0.24,0.42,0.29
23.97491216659546,0.23,0.42,0.31
23.98494005203247,0.22,0.42,0.35
23.994833946228027,0.22,0.41,0.39
24.012715816497803,0.21,0.41,0.43
24.015820026397705,0.2,0.41,0.45
24.025651931762695,0.19,0.4,0.47
24.035706996917725,0.19,0.39,0.47
24.045330047607422,0.18,0.39,0.46
24.055989027023315,0.19,0.38,0.44
24.065845012664795,0.2,0.37,0.41
24.076287984848022,0.21,0.36,0.39
24.086352825164795,0.24,0.35,0.37
24.096171855926514,0.26,0.34,0.36
24.11513614654541,0.28,0.34,0.36
24.116912841796875,0.3,0.33,0.37
24.125359058380127,0.31,0.32,0.38
24.135651111602783,0.33,0.31,0.39
24.146423816680908,0.34,0.31,0.4
24.156476974487305,0.35,0.3,0.4
24.16664981842041,0.34,0.29,0.39
24.176954984664917,0.34,0.28,0.38
24.186638832092285,0.33,0.27,0.37
24.19669795036316,0.31,0.26,0.36
24.211731910705566,0.31,0.26,0.36
24.21621084213257,0.29,0.25,0.36
24.22618293762207,0.28,0.24,0.38
24.236485958099365,0.26,0.23,0.39
24.246428966522217,0.24,0.22,0.41
24.25727605819702,0.22,0.22,0.43
24.26745295524597,0.21,0.21,0.44
24.27687692642212,0.2,0.2,0.44
24.28755807876587,0.19,0.2,0.43
24.311749935150146,0.18,0.18,0.41
24.313405990600586,0.17,0.18,0.38
24.31671905517578,0.18,0.17,0.35
24.327528953552246,0.19,0.16,0.33
24.337090015411377,0.2,0.15,0.3
24.34805202484131,0.22,0.14,0.28
24.35824489593506,0.24,0.13,0.27
24.368010997772217,0.27,0.12,0.25
24.377832889556885,0.28,0.12,0.24
24.388455867767334,0.29,0.11,0.23
24.40982699394226,0.29,0.1,0.21
24.41164803504944,0.29,0.09,0.19
24.417510986328125,0.27,0.08,0.17
24.427485942840576,0.25,0.07,0.15
24.437612056732178,0.23,0.07,0.14
24.447516918182373,0.21,0.06,0.14
24.457902908325195,0.18,0.05,0.15
24.46789789199829,0.17,0.04,0.16
24.478911876678467,0.14,0.04,0.18
24.488977909088135,0.12,0.02,0.2
24.511518001556396,0.1,0.02,0.2
24.513100147247314,0.09,0.01,0.2
24.518146991729736,0.08,0.0,0.19
24.528275966644287,0.06,-0.01,0.17
24.538367986679077,0.05,-0.01,0.15
24.54842495918274,0.04,-0.03,0.12
24.559633016586304,0.03,-0.04,0.1
24.569440841674805,0.03,-0.05,0.08
24.579394817352295,0.05,-0.05,0.05
24.590332984924316,0.07,-0.06,0.04
24.61331295967102,0.09,-0.07,0.03
24.61488699913025,0.13,-0.07,0.02
24.61890411376953,0.16,-0.08,-0.01
24.62892484664917,0.18,-0.09,-0.04
24.640064001083374,0.19,-0.09,-0.07
24.649898052215576,0.19,-0.1,-0.11
24.66020894050598,0.18,-0.11,-0.14
24.670301914215088,0.16,-0.12,-0.17
24.680397033691406,0.12,-0.13,-0.19
24.690403938293457,0.08,-0.13,-0.19
24.708101987838745,0.04,-0.14,-0.19
24.710098028182983,0.0,-0.15,-0.17
24.719911098480225,-0.03,-0.16,-0.15
24.72965908050537,-0.07,-0.16,-0.13
24.739895820617676,-0.1,-0.16,-0.11
24.7510769367218,-0.13,-0.17,-0.1
24.760356903076172,-0.15,-0.18,-0.11
24.77113699913025,-0.18,-0.19,-0.12
24.78057098388672,-0.2,-0.19,-0.14
24.79130792617798,-0.22,-0.2,-0.16
24.80912685394287,-0.24,-0.21,-0.18
24.811362981796265,-0.25,-0.22,-0.19
24.82020616531372,-0.25,-0.22,-0.2
24.830392837524414,-0.24,-0.23,-0.2
24.841763019561768,-0.22,-0.24,-0.21
24.851485013961792,-0.19,-0.25,-0.21
24.861495971679688,-0.16,-0.25,-0.22
24.871838092803955,-0.14,-0.26,-0.24
24.881834030151367,-0.11,-0.26,-0.27
24.89202904701233,-0.1,-0.27,-0.31
24.90915012359619,-0.09,-0.27,-0.35
24.911230087280273,-0.1,-0.28,-0.4
24.92137384414673,-0.11,-0.29,-0.44
24.931137084960938,-0.14,-0.29,-0.46
24.941340923309326,-0.16,-0.3,-0.46
24.951804161071777,-0.19,-0.3,-0.46
24.961845874786377,-0.22,-0.31,-0.44
24.972357988357544,-0.24,-0.31,-0.42
24.9824538230896,-0.26,-0.32,-0.39
24.99219512939453,-0.27,-0.32,-0.37
25.01030397415161,-0.29,-0.33,-0.36
25.012397050857544,-0.31,-0.33,-0.36
25.021906852722168,-0.33,-0.33,-0.36
25.031918048858643,-0.36,-0.34,-0.38
25.042125940322876,-0.38,-0.34,-0.4
25.053053855895996,-0.4,-0.34,-0.41
25.062882900238037,-0.41,-0.35,-0.42
25.07305908203125,-0.42,-0.35,-0.42
25.083225965499878,-0.4,-0.35,-0.42
25.10775899887085,-0.38,-0.35,-0.41
25.109283924102783,-0.35,-0.35,-0.4
25.112235069274902,-0.31,-0.35,-0.39
25.122473001480103,-0.27,-0.35,-0.38
25.132370948791504,-0.24,-0.35,-0.38
25.14361810684204,-0.23,-0.35,-0.38
25.15391206741333,-0.21,-0.35,-0.39
25.16362190246582,-0.22,-0.35,-0.41
25.17428684234619,-0.23,-0.35,-0.43
25.18449306488037,-0.25,-0.35,-0.44
25.20979595184326,-0.27,-0.34,-0.44
25.211683988571167,-0.29,-0.35,-0.43
25.213706970214844,-0.3,-0.34,-0.42
25.22327709197998,-0.31,-0.34,-0.4
25.234291076660156,-0.32,-0.34,-0.38
25.243989944458008,-0.32,-0.33,-0.36
25.254838943481445,-0.33,-0.33,-0.35
25.26482105255127,-0.34,-0.32,-0.34
25.274860858917236,-0.35,-0.32,-0.33
25.284911155700684,-0.37,-0.32,-0.33
25.30842399597168,-0.39,-0.32,-0.33
25.309804916381836,-0.4,-0.31,-0.33
25.31378698348999,-0.41,-0.31,-0.32
25.32405185699463,-0.4,-0.3,-0.31
25.335047006607056,-0.38,-0.3,-0.3
25.345134973526,-0.35,-0.29,-0.28
25.355152130126953,-0.32,-0.28,-0.26
25.365010976791382,-0.27,-0.28,-0.24
25.375226974487305,-0.24,-0.28,-0.22
25.38634490966797,-0.21,-0.27,-0.21
25.408822059631348,-0.18,-0.27,-0.2
25.41034197807312,-0.17,-0.26,-0.2
25.41447687149048,-0.17,-0.25,-0.2
25.42482614517212,-0.18,-0.25,-0.2
25.435940980911255,-0.19,-0.24,-0.19
25.445343017578125,-0.2,-0.24,-0.19
25.455868005752563,-0.2,-0.23,-0.18
25.465872049331665,-0.21,-0.23,-0.17
25.475816011428833,-0.2,-0.22,-0.15
25.486123085021973,-0.2,-0.22,-0.14
25.503861904144287,-0.19,-0.21,-0.11
25.505588054656982,-0.2,-0.2,-0.1
25.515362977981567,-0.21,-0.2,-0.08
25.525377988815308,-0.21,-0.19,-0.08
25.536508083343506,-0.22,-0.18,-0.08
25.54610013961792,-0.23,-0.18,-0.08
25.55691695213318,-0.24,-0.18,-0.08
25.567078113555908,-0.23,-0.17,-0.09
25.57679295539856,-0.22,-0.16,-0.09
25.58722996711731,-0.2,-0.15,-0.09
25.605093955993652,-0.16,-0.15,-0.08
25.606751918792725,-0.12,-0.14,-0.07
25.61612606048584,-0.07,-0.13,-0.05
25.62647008895874,-0.04,-0.12,-0.02
25.637388944625854,-0.01,-0.12,0.0
25.646970987319946,0.02,-0.11,0.02
25.65750002861023,0.04,-0.11,0.03
